Mill TPH,Clinker TPH,Gypsum TPH,DFA TPH,WFA TPH,Mill KW,Mill I/L Temp,Mill O/L Temp,Mill O/L BE Amp,Mill Vent Fan RPM,Mill Vent Fan KW,Mill Vent BF I/L Draft,Mill Vent BF O/L Draft,Reject,Sep RPM,Sep KW,Sep Amp,CA Fan RPM,CA Fan KW,Mill Folaphone,Mill I/L Draft,Mill O/L Draft,Sep. Vent I/L Draft,Sep. Vent O/L Draft,Sep.Vent bag filter fan kw,Sep.Vent bag filter fan rpm,"Residue
(45µ)"
241170916185.9335,93.11,93.11,7875435104.751345,4.213358863256393,3654.09,27.65,82.81,48.54,132.3141548790752,44.0,81.13,205.64,92.86,952.36,50.69,139.21,900.34,326.28,0.15364001277147418,1.6861053512291402,87.8,0.1506883237159857,212.8,0.9038601181699443,0.2148267171649328,14.4
241899501290.63132,91.69,91.69,9147255778.063774,4.051655343157019,3706.16,28.56,91.02,42.81,132.3141548790752,43.85,82.72,209.97,144.69,952.29,49.95,137.4,900.31,326.83,0.15364001277147418,1.6873873666760162,88.3,0.15068832371598567,212.5,0.9034798607545208,0.2148267171649328,15.2
239477857930.23233,87.34,87.34,12862960225.09887,4.13728267471819,3730.61,30.37,88.79,42.27,132.3141548790752,42.91,80.99,175.34,131.97,957.57,34.21,130.01,900.3,329.04,0.1536400127714742,1.707917956818501,86.4,0.1506883237159857,212.8,0.906524219350382,0.2148267171649328,16.6
245569468666.73248,89.48,89.48,11063715955.461283,4.517326139130528,3658.4,29.63,88.19,45.7,132.3141548790752,46.74,82.97,199.47,74.72,906.32,34.04,132.91,905.32,339.29,0.15364001277147418,1.6835146011203768,87.5,0.15068832371598564,211.3,0.9034415549294864,0.2148267171649328,17.2
283266873546.14246,96.08,96.08,9147255778.063774,4.422393283069126,3695.86,29.34,94.95,40.22,132.3141548790752,45.46,79.01,193.48,84.32,937.14,32.23,135.18,905.26,334.76,0.15364001277147427,1.6924287480377027,82.1,0.15068832371598567,213.4,0.9028607499270467,0.2148267171649328,15.2
287908550558.48456,98.81,98.81,7300704716.910274,4.678596757557282,3677.87,30.21,96.64,41.22,132.3141548790752,46.68,80.33,203.78,54.63,982.64,32.19,127.49,925.8637499999998,336.27,0.15364001277147443,1.6961215158407181,87.8,0.1506883237159857,212.7,0.9054748875824976,0.2148267171649328,15.4
284838128421.52386,99.08,99.08,7213237663.970326,4.232372536672137,3654.44,27.77,86.09,45.4,132.3141548790752,43.83,77.88,173.22,44.17,907.42,29.28,128.61,900.26,329.28,0.1536400127714741,1.6861053512291402,85.9,0.1506883237159857,211.8,0.9043840631821551,0.2148267171649328,15.8
141681724625.95923,86.26,86.26,3388512006.748892,4.574261591547033,3621.93,27.64,90.78,42.78,132.3141548790752,43.4,80.83,159.45,68.36,962.79,41.79,135.45,890.34,315.07,0.15364001277147513,1.6924287480377027,86.9,0.15068832371598564,211.4,0.9045688520473452,0.2148267171649328,17.4
240363481987.85614,95.71,95.71,6002353315.423116,4.422393283069126,3687.97,28.25,89.59,43.97,132.3141548790752,45.79,82.29,168.36,105.82,952.13,57.31,142.81,895.28,323.92,0.1536400127714742,1.6961215158407181,89.8,0.15068832371598578,211.3,0.903249253786023,0.2148267171649328,15.8
205182111972.97482,93.07,93.07,5062196079.523037,4.203851224122292,3700.67,28.96,91.55,38.3,134.27024922663324,46.87,89.37,172.28,84.6,962.42,50.14,138.44,890.28,318.42,0.15364001277147418,1.7273716454100303,85.3,0.15068832371598576,211.3,0.9058291575262727,0.2148267171649328,12.8
241656439959.8863,95.95,95.95,6039787546.641462,4.2798974063088595,3674.82,30.35,94.41,44.89,134.27024922663324,47.4,84.42,169.31,92.61,962.39,52.17,141.41,890.29,317.35,0.15364001277147374,1.7283918148524218,88.1,0.1506883237159857,212.3,0.9036325727868545,0.2148267171649328,13.8
245487422348.52765,89.76,89.76,10888805801.385895,4.403400579636033,3696.45,29.43,93.43,41.98,132.3141548790752,45.4,78.81,199.88,84.74,937.13,31.65,135.66,905.27,335.85,0.15364001277147446,1.6699979425017575,83.9,0.15068832371598564,212.5,0.9047524314711365,0.2148267171649328,15.5
206175955564.80737,87.38,87.38,9094347334.585442,3.75636846935521,3694.49,30.09,96.91,40.49,132.3141548790752,46.7,80.33,205.81,66.26,967.65,32.17,129.4,925.8637499999998,336.45,0.1536400127714744,1.6936679176100564,87.5,0.15068832371598576,212.6,0.9043840631821551,0.2148267171649328,15.2
204757379525.35367,84.94,84.94,10766731923.335503,4.042138442754661,3655.38,27.81,82.76,47.13,132.3141548790752,43.73,78.23,165.86,57.41,907.3,36.11,129.37,900.25,332.79,0.1536400127714739,1.707917956818501,83.9,0.1506883237159857,212.3,0.9034415549294864,0.2148267171649328,15.2
202574360832.00647,88.06,88.06,7820972113.671421,4.222865967096762,3608.9,34.23,93.98,49.16,132.3141548790752,42.61,85.27,177.82,132.84,957.92,64.95,153.44,900.45,316.73,0.15364001277147413,1.6782232304752551,85.5,0.15068832371598567,211.4,0.9033647891841802,0.2148267171649328,13.8
230221974765.1331,99.48,99.48,3705520993.25377,3.8993177684900733,3616.95,28.97,88.08,47.68,133.29404391996894,45.56,75.75,209.01,127.01,901.12,63.95,153.37,925.51,346.4,0.15364001277147254,1.7146425295086203,85.6,0.15068832371598584,212.3,0.9038601181699443,0.2148267171649328,15.8
269618841562.27182,102.42,102.42,4394769192.402202,4.01358441010306,3558.19,28.57,92.9,49.14,133.29404391996894,45.52,78.37,195.19,113.31,901.12,36.49,155.07,910.42,334.03,0.1536400127714739,1.6873873666760162,83.9,0.1506883237159857,212.3,0.906524219350382,0.2148267171649328,17.4
321864919710.05524,105.8,105.8,5321334028.688731,4.146794090044411,3588.45,28.21,100.36,48.05,133.29404391996894,46.44,80.2,200.6,109.16,901.12,39.28,156.66,905.43,322.33,0.15364001277147382,1.6948988090712251,85.4,0.15068832371598567,212.5,0.9034415549294864,0.2148267171649328,15.8
