Date Time,Mill_TPH,Clinker_TPH,Gypsum_TPH,DFA_TPH,WFA_TPH,Mill_KW,Mill_I/L_Temp,Mill_O/L_Temp,Mill_O/L_BE_Amp,Mill_Vent_Fan_RPM,Mill_Vent_Fan_KW,Mill_Vent_BF_I/L_Draft,Mill_Vent_BF_O/L_Draft,Reject,Sep_RPM,Sep_KW,Sep_Amp,CA_Fan_RPM,CA_Fan_KW,Mill_Folaphone,Mill_I/L_Draft,Mill_O/L_Draft,Sep_Vent_I/L_Draft,Sep_Vent_O/L_Draft,SepVent_bag_filter_fan_kw,SepVent_bag_filter_fan_rpm,Residue(45µ)
2022-06-01 07:24:00,-0.4137964844703674,-0.6304619,-0.6304619,0.4799037277698517,-1.549005150794983,-0.1863832324743271,-1.4341007471084597,-1.741439700126648,-0.3219607174396515,1.1945027112960815,-0.4680736362934112,-0.26020837,0.9889783263206482,-0.7240965962409973,0.1290637,-0.2015489786863327,-0.3046529293060303,-0.4980931,-0.28194273,-0.18125986,-0.8042285,-0.001547084,-0.6254903,-0.3225215077400207,-0.72149247,-0.5933628678321838,-0.6436178
2022-06-01 08:29:00,-0.4046831429004669,-0.8661066,-0.8661066,0.7959290742874146,-1.6302098035812378,0.3404695093631744,-1.196629762649536,-0.2146144956350326,-1.3184990882873535,1.1945027112960815,-0.4987114369869232,-0.07695868,1.2288260459899902,0.6556298732757568,0.12597804,-0.2576465010643005,-0.487105518579483,-0.501337,-0.22397852,-0.1924087,-0.7819461,0.105573885,-0.7769955,-0.3732988834381103,-0.74311256,-0.5933628678321838,0.009695507
2022-06-01 09:28:00,-0.435062438249588,-1.587978,-1.587978,1.435064673423765,-1.587218999862671,0.5878614187240601,-0.7242971062660217,-0.6293299794197083,-1.4124138355255127,1.1945027112960815,-0.6907061338424683,-0.27634346,-0.6894009709358215,0.3170205652713775,0.3587016,-1.450859785079956,-1.2320308685302734,-0.5024183,0.008939617,-0.15897068,-0.40314683,-0.3014861,-0.6002375,-0.3225215077400207,-0.5615028,-0.5933628678321838,1.152994
2022-06-01 10:22:00,-0.3591149747371673,-1.2328498,-1.2328498,1.209034442901611,-1.3961493968963623,-0.1427756696939468,-0.9174057841300964,-0.7409125566482544,-0.8158820867538452,1.1945027112960815,0.0915716290473938,-0.04814591,0.6472094655036926,-1.2069875001907349,-1.900203,-1.4637469053268433,-0.939704656600952,0.039868362,1.0892054,-0.18125986,-0.84879285,-0.065820314,-0.85274994,-0.5764058232307434,-0.74527466,-0.5933628678321838,1.6429793
2022-06-01 11:33:00,0.0793553814291954,-0.13759843,-0.13759843,0.7959290742874146,-1.4439167976379397,0.2362540662288665,-0.9930830597877502,0.5162532925605774,-1.7689414024353027,1.1945027112960815,-0.1698688566684723,-0.50454015,0.3154107928276062,-0.9514333605766296,-0.5417746,-1.6009589433670044,-0.7108856439590454,0.033387136,0.6117807,-0.12553269,-0.692817,-1.2227271,-0.75174654,-0.2209693044424057,-0.77770483,-0.5933628678321838,0.009695507
2022-06-01 12:26:00,0.1299870461225509,0.31543675,0.31543675,0.3229232430458069,-1.3149447441101074,0.0542277954518795,-0.7660506963729858,0.8305454254150391,-1.5950254201889038,1.1945027112960815,0.0793163552880287,-0.3524087,0.8859490752220154,-1.7417879104614258,1.463692,-1.6039912700653076,-1.486051082611084,2.2591045,0.7709201,0.05281465,-0.6259698,-0.001547084,-0.5749847,-0.3394481539726257,-0.62636346,-0.5933628678321838,0.17302364
2022-06-01 14:35:00,0.0965699627995491,0.36024323,0.36024323,0.2981371581554413,-1.5394517183303833,-0.182843342423439,-1.4027856588363647,-1.1314536333084106,-0.8680567145347595,1.1945027112960815,-0.5027957558631897,-0.63477445,-0.8068318367004395,-2.020235538482666,-1.8517202,-1.8245915174484253,-1.373152732849121,-0.50673693,0.034232616,-0.2927227,-0.8042285,-0.4086071,-0.6002375,-0.4917777180671692,-0.69122416,-0.5933628678321838,0.4996807
2022-06-01 15:24:00,-1.9448972940444944,-1.7672,-1.7672,-1.1601250171661377,-1.367488980293274,-0.5117860436439514,-1.4367103576660156,-0.2592472434043884,-1.3237169981002808,1.1945027112960815,-0.5906233191490173,-0.29478317,-1.5695806741714478,-1.376292109489441,0.588778,-0.8762372732162476,-0.6836687326431274,-1.5783412,-1.4633837,0.766187,-0.692817,-0.19436514,-0.9032517,-0.5594817399978638,-0.68041396,-0.5933628678321838,1.8063066
2022-06-01 16:38:00,-0.4239234328269958,-0.19899935,-0.19899935,-0.0736574903130531,-1.4439167976379397,0.1564201116561889,-1.2775263786315918,-0.4805536866188049,-1.116756558418274,1.1945027112960815,-0.1024659946560859,-0.12651668,-1.0760372877120972,-0.3790984451770782,0.11892703,0.3002981543540954,0.0582326687872409,-1.0446984,-0.53066576,-0.17011952,-0.6259698,0.42693678,-0.17096709,-0.5764058232307434,-0.7560848,-0.5933628678321838,0.4996807
2022-06-01 17:27:00,-0.8947972059249878,-0.6370999,-0.6370999,-0.4082733690738678,-1.5537817478179932,0.28492072224617,-1.0922470092773438,-0.116048440337181,-1.7829416990280151,1.529202938079834,0.1181235685944557,0.68946123,-0.8589005470275879,-0.9439797401428224,0.57247,-0.2432431578636169,-0.3822707533836365,-1.5848224,-1.1103206,-0.18125986,-0.002065623,-0.53715193,-0.34772503,-0.5764058232307434,-0.6047434,-0.5933628678321838,-1.9502437
2022-06-01 18:24:00,-0.4077209234237671,-0.15917237,-0.15917237,-0.0612648352980613,-1.5155678987503052,0.0233668014407157,-0.729516327381134,0.4158299565315246,-0.956754207611084,1.529202938079834,0.2263765782117843,0.11896782,-1.023414969444275,-0.730751633644104,0.5711491,-0.0893536284565925,-0.0828892588615417,-1.5837477,-1.2230905,-0.61597085,0.020216761,0.062724516,-0.6002375,-0.4071496129035949,-0.73446447,-0.5933628678321838,-1.1336023
2022-06-01 19:20:00,-0.3601270318031311,-1.1863848,-1.1863848,1.1739208698272705,-1.453470230102539,0.2422222197055816,-0.9695969223976136,0.2335773408412933,-1.4628496170043943,1.1945027112960815,-0.1821233630180359,-0.5275909,0.6699203848838806,-0.9402529001235962,-0.54221576,-1.6449273824691772,-0.6624996662139893,0.03446844,0.72665733,0.08625265,-1.0716158,-0.83709097,-0.85274994,-0.3732988834381103,-0.6696038,-0.5933628678321838,0.2546881
